id,first_name,last_name,team,year,position,jersey,height,weight,home_city,home_state
107494,Trey,Sanders,Alabama,3,RB,6,72,214,Port Saint Joe,FL
4241472,Kendall,Randolph,Alabama,4,OL,60,76,298,Madison,AL
4360818,Tyler,Harrell,Alabama,3,WR,8,72,194,Miami,FL
4362805,Tyler,Steen,Alabama,4,OL,54,77,315,Miami,FL
4372025,Jaylen,Moody,Alabama,4,LB,42,74,225,Conway,SC
4372026,Cameron,Latu,Alabama,4,TE,81,77,244,Salt Lake City,UT
4372028,Emil,Ekiyor Jr.,Alabama,4,OL,55,75,307,Indianapolis,IN
4372032,Jackson,Roby,Alabama,4,OL,62,77,285,Huntsville,AL
4426350,Henry,To'oTo'o,Alabama,4,LB,10,74,228,Sacramento,CA
4428989,Chris,Braswell,Alabama,3,LB,41,75,240,Baltimore,MD
4429001,Jase,McClellan,Alabama,3,RB,2,71,212,Aledo,TX
4429011,Eli,Ricks,Alabama,3,DB,7,74,190,Rancho Cucamonga,CA
4429033,Jermaine,Burton,Alabama,3,WR,3,72,200,Calabasas,CA
4429045,Demouy,Kennedy,Alabama,3,LB,37,75,220,Theodore,AL
4429172,Traeshon,Holden,Alabama,3,WR,11,75,214,Kissimmee,FL
4429187,Seth,McLaughlin,Alabama,2,OL,56,76,295,Buford,GA
4429795,Jahmyr,Gibbs,Alabama,3,RB,1,71,200,Dalton,GA
4430823,Thaiu,Jones-Bell,Alabama,3,WR,14,72,190,Hallandale,FL
4431288,Monkell,Goodwine,Alabama,1,DL,95,76,288,Upper Marlboro,MD
4431414,Tim,Keenan III,Alabama,1,DL,96,74,343,Birmingham,AL
4431437,JC,Latham,Alabama,2,OL,65,78,326,Oak Creek,WI
4431500,Kendrick,Blackshire,Alabama,2,LB,40,74,233,Duncanville,TX
4431503,Damon,Payne Jr.,Alabama,1,DL,44,76,303,Belleville,MI
4431506,Ja'Corey,Brooks,Alabama,2,WR,7,74,196,Miami,FL
4431529,Jaeden,Roberts,Alabama,1,OL,77,77,302,Houston,TX
4431542,Terrence,Ferguson II,Alabama,1,OL,69,76,300,Fort Valley,GA
4432667,Tommy,Brockermeyer,Alabama,1,OL,76,77,304,Fort Worth,TX
4432694,JoJo,Earle,Alabama,2,WR,10,70,177,Aledo,TX
4432725,Deontae,Lawson,Alabama,1,LB,32,74,225,Mobile,AL
4432734,Jalen,Milroe,Alabama,1,QB,4,74,212,Katy,TX
4433887,Jahquez,Robinson,Alabama,3,DB,23,74,197,Jacksonville,FL
4433975,Kool-Aid,McKinstry,Alabama,2,DB,1,73,188,Birmingham,AL
4489406,Chase,Davis,Alabama,1,DB,46,73,182,Tuscaloosa,AL
4494562,Rodney,Johnson,Alabama,1,DB,27,71,160,Gadsden,AL
4533411,Tristan,Walker,Alabama,1,DL,90,73,280,Madison,AL
4565190,Dallas,Turner,Alabama,2,LB,15,76,240,Fort Lauderdale,FL
4567098,Jordan,Battle,Alabama,4,DB,9,73,206,Fort Lauderdale,FL
4567104,Will,Reichard,Alabama,4,PK,16,73,190,Hoover,AL
4567111,DeMarcco,Hellams,Alabama,4,DB,2,73,208,Washington,DC
4567123,Byron,Young,Alabama,4,DL,47,75,292,Laurel,MS
4567124,Gabe,Pugh,Alabama,3,LS,50,77,273,Tuscaloosa,AL
4567125,Tanner,Bowles,Alabama,3,OL,51,77,293,Glasgow,KY
4567132,Darrian,Dalcourt,Alabama,4,OL,71,75,305,Havre De Grace,MD
4567135,Amari,Kight,Alabama,3,OL,78,79,322,Alabaster,AL
4567137,Grant,Krieger,Alabama,4,WR,89,74,192,Pittsburgh,PA
4567138,Justin,Eboigbe,Alabama,4,DL,92,77,292,Forest Park,GA
4567140,DJ,Dale,Alabama,4,DL,94,75,300,Pinson,AL
4567141,Jack,Martin,Alabama,4,P,95,74,207,Mobile,AL
4567783,James,Brockermeyer,Alabama,1,OL,58,75,282,Fort Worth,TX
4570039,Keanu,Koht,Alabama,1,LB,19,76,231,Vero Beach,FL
4587702,Christian,Leary,Alabama,2,WR,12,70,175,Orlando,FL
4592570,Ian,Jackson,Alabama,1,LB,36,73,235,Prattville,AL
4592837,Terrion,Arnold,Alabama,1,DB,3,72,188,Tallahassee,FL
4594449,DeVonta,Smith,Alabama,2,DB,8,72,185,Cincinnati,OH
