id,posStat1,posStat2
107494,"[5.0, 5.0, 40.0, 53.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 80.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4241472,[],[]
4360818,"[12.0, 12.0, 12.0, 12.0, 18.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
4362805,[],[]
4372025,"[3.0, 8.0, 9.0, 9.0, 13.0, 13.0, 13.0, 14.0, 14.0, 20.0, 22.0, 24.0]","[6.0, 16.0, 22.0, 25.0, 33.0, 33.0, 33.0, 34.0, 34.0, 42.0, 46.0, 49.0]"
4372026,"[28.0, 79.0, 106.0, 106.0, 116.0, 206.0, 217.0, 217.0, 267.0, 305.0, 305.0]","[4.0, 7.0, 10.0, 10.0, 11.0, 17.0, 18.0, 18.0, 21.0, 24.0, 24.0]"
4372028,[],[]
4372032,[],[]
4426350,"[0.0, 3.0, 5.0, 9.0, 12.0, 16.0, 21.0, 28.0, 28.0, 31.0, 35.0, 39.0]","[3.0, 9.0, 17.0, 23.0, 33.0, 39.0, 47.0, 60.0, 60.0, 66.0, 73.0, 81.0]"
4428989,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0]","[4.0, 4.0, 4.0, 6.0, 7.0, 9.0, 12.0, 12.0, 12.0, 14.0, 14.0, 15.0]"
4429001,"[23.0, 120.0, 167.0, 245.0, 256.0, 288.0, 303.0, 312.0, 312.0, 329.0, 413.0, 569.0]","[0.0, 1.0, 1.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0]"
4429011,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0, 4.0]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 5.0, 6.0, 6.0]"
