id,posStat1,posStat2
383510,[],[]
4239107,"[0.0, 0.0, 1.0, 6.0, 9.0, 11.0, 11.0, 13.0, 15.0, 17.0, 18.0, 19.0, 20.0]","[5.0, 7.0, 12.0, 21.0, 25.0, 33.0, 33.0, 37.0, 39.0, 46.0, 49.0, 50.0, 52.0]"
4239139,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4256907,"[2.0, 4.0, 5.0, 6.0, 9.0, 9.0, 9.0, 9.0, 9.0, 11.0, 12.0, 13.0, 14.0]","[4.0, 9.0, 13.0, 17.0, 21.0, 22.0, 22.0, 22.0, 22.0, 28.0, 32.0, 33.0, 36.0]"
4356017,[],[]
4360056,"[325.0, 526.0, 863.0, 1217.0, 1383.0, 1561.0, 1561.0, 1761.0, 2059.0, 2358.0, 2602.0, 2732.0, 2732.0]","[2.0, 5.0, 7.0, 11.0, 13.0, 15.0, 15.0, 15.0, 16.0, 18.0, 20.0, 21.0, 21.0]"
4360057,"[44.0, 110.0, 211.0, 236.0, 323.0, 502.0, 502.0, 631.0, 667.0, 727.0, 766.0, 777.0, 834.0]","[0.0, 1.0, 3.0, 3.0, 3.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0]"
4360059,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
4360063,[],[]
4360067,"[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0, 5.0]"
4360068,[],[]
4360070,[],[]
4360072,"[2.0, 3.0, 5.0, 6.0, 9.0, 12.0, 12.0, 13.0, 18.0, 18.0, 20.0, 22.0, 24.0]","[2.0, 9.0, 13.0, 15.0, 20.0, 29.0, 29.0, 33.0, 39.0, 43.0, 49.0, 52.0, 60.0]"
